ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,ZIM_LANG,ZIM_CODE,ARA_LANG,ARA_CODE,PST_LANG,PST_CODE,WHG,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2019-12-31,Z31122019,Schwamendingen-Mitte,R00122,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,122
2019-12-31,Z31122019,Enge,R00024,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 2 (ab 1893),R00200,2019-12-31,2019-12-31,2019,24
2019-12-31,Z31122019,Friesenberg,R00033,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,19.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,33
2019-12-31,Z31122019,Sihlfeld,R00034,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,34
2019-12-31,Z31122019,Unterstrass,R00061,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,62.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,61
2019-12-31,Z31122019,Hirslanden,R00073,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,26.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Unterstrass,R00061,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,Baubegonnen,PST0006,115.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,61
2019-12-31,Z31122019,Wollishofen,R00021,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,1.0,Kreis 2 (ab 1893),R00200,2019-12-31,2019-12-31,2019,21
2019-12-31,Z31122019,Alt-Wiedikon,R00031,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,8.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,31
2019-12-31,Z31122019,Hard,R00044,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,Baubegonnen,PST0006,19.0,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,44
2019-12-31,Z31122019,Witikon,R00074,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,3.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,74
2019-12-31,Z31122019,Witikon,R00074,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,11.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,74
2019-12-31,Z31122019,Werd,R00041,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,18.0,Kreis 4 (ab 1915),R00700,2019-12-31,2019-12-31,2019,41
2019-12-31,Z31122019,Seefeld,R00081,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,4.0,Kreis 8 (ab 1915),R01100,2019-12-31,2019-12-31,2019,81
2019-12-31,Z31122019,Wipkingen,R00102,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 10 (ab 1934),R01500,2019-12-31,2019-12-31,2019,102
2019-12-31,Z31122019,Seebach,R00119,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,175.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,119
2019-12-31,Z31122019,Sihlfeld,R00034,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,1.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,34
2019-12-31,Z31122019,Oberstrass,R00063,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,3.0,Kreis 6 (ab 1934),R01200,2019-12-31,2019-12-31,2019,63
2019-12-31,Z31122019,Seebach,R00119,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,125.0,Kreis 11 (ab 1970),R01800,2019-12-31,2019-12-31,2019,119
2019-12-31,Z31122019,Gewerbeschule,R00051,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,3.0,Kreis 5 (ab 1915),R00800,2019-12-31,2019-12-31,2019,51
2019-12-31,Z31122019,Hirslanden,R00073,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,9.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Hottingen,R00072,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,72
2019-12-31,Z31122019,Altstetten,R00092,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,73.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,92
2019-12-31,Z31122019,Hirslanden,R00073,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,0.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Hirzenbach,R00123,6- und mehr-Zimmer Wohnung,ZIM0060,Neubau,ARA2001,Baubegonnen,PST0006,0.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,123
2019-12-31,Z31122019,Sihlfeld,R00034,"4- und 4,5-Zimmer Wohnung",ZIM0004,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,8.0,Kreis 3 (ab 1915),R00600,2019-12-31,2019-12-31,2019,34
2019-12-31,Z31122019,Hirslanden,R00073,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,3.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,73
2019-12-31,Z31122019,Hirzenbach,R00123,"5- und 5,5-Zimmer Wohnung",ZIM0005,Neubau,ARA2001,Baubegonnen,PST0006,0.0,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2019-12-31,2019-12-31,2019,123
2019-12-31,Z31122019,Albisrieden,R00091,"1- und 1,5-Zimmer Wohnung",ZIM0001,Neubau,ARA2001,Baubegonnen,PST0006,102.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,91
2019-12-31,Z31122019,Hottingen,R00072,"2- und 2,5-Zimmer Wohnung",ZIM0002,Neubau,ARA2001,Baubegonnen,PST0006,1.0,Kreis 7 (ab 1934),R01300,2019-12-31,2019-12-31,2019,72
2019-12-31,Z31122019,Albisrieden,R00091,"3- und 3,5-Zimmer Wohnung",ZIM0003,Neubau,ARA2001,"Bewilligt harmonisiert (Bewillgt, Freigegeben, Sistiert)",PST0101,74.0,Kreis 9 (ab 1934),R01400,2019-12-31,2019-12-31,2019,91
