ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2018-12-31,Z31122018,Hochschulen,R00012,664.0,Veröffentlicht,Kreis 1 (Stadtgebiet vor 1893),R10000,2018-12-31,2018-12-31,2018,12
2018-12-31,Z31122018,Fluntern,R00071,8485.0,Veröffentlicht,Kreis 7 (ab 1934),R01300,2018-12-31,2018-12-31,2018,71
2018-12-31,Z31122018,Seefeld,R00081,5253.0,Veröffentlicht,Kreis 8 (ab 1915),R01100,2018-12-31,2018-12-31,2018,81
2018-12-31,Z31122018,Hirzenbach,R00123,12801.0,Veröffentlicht,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2018-12-31,2018-12-31,2018,123
2018-12-31,Z31122018,Friesenberg,R00033,10933.0,Veröffentlicht,Kreis 3 (ab 1915),R00600,2018-12-31,2018-12-31,2018,33
2018-12-31,Z31122018,Rathaus,R00011,3267.0,Veröffentlicht,Kreis 1 (Stadtgebiet vor 1893),R10000,2018-12-31,2018-12-31,2018,11
2018-12-31,Z31122018,Weinegg,R00083,5220.0,Veröffentlicht,Kreis 8 (ab 1915),R01100,2018-12-31,2018-12-31,2018,83
2018-12-31,Z31122018,City,R00014,829.0,Veröffentlicht,Kreis 1 (Stadtgebiet vor 1893),R10000,2018-12-31,2018-12-31,2018,14
2018-12-31,Z31122018,Hirslanden,R00073,7488.0,Veröffentlicht,Kreis 7 (ab 1934),R01300,2018-12-31,2018-12-31,2018,73
2018-12-31,Z31122018,Höngg,R00101,24020.0,Veröffentlicht,Kreis 10 (ab 1934),R01500,2018-12-31,2018-12-31,2018,101
2018-12-31,Z31122018,Gewerbeschule,R00051,9513.0,Veröffentlicht,Kreis 5 (ab 1915),R00800,2018-12-31,2018-12-31,2018,51
2018-12-31,Z31122018,Hottingen,R00072,11265.0,Veröffentlicht,Kreis 7 (ab 1934),R01300,2018-12-31,2018-12-31,2018,72
2018-12-31,Z31122018,Affoltern,R00111,26562.0,Veröffentlicht,Kreis 11 (ab 1970),R01800,2018-12-31,2018-12-31,2018,111
2018-12-31,Z31122018,Schwamendingen-Mitte,R00122,11100.0,Veröffentlicht,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2018-12-31,2018-12-31,2018,122
2018-12-31,Z31122018,Oberstrass,R00063,10927.0,Veröffentlicht,Kreis 6 (ab 1934),R01200,2018-12-31,2018-12-31,2018,63
2018-12-31,Z31122018,Witikon,R00074,10953.0,Veröffentlicht,Kreis 7 (ab 1934),R01300,2018-12-31,2018-12-31,2018,74
2017-12-31,Z31122017,City,R00014,830.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2017-12-31,2017-12-31,2017,14
2017-12-31,Z31122017,Hochschulen,R00012,677.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2017-12-31,2017-12-31,2017,12
2017-12-31,Z31122017,Escher Wyss,R00052,6088.0,Definitiv,Kreis 5 (ab 1915),R00800,2017-12-31,2017-12-31,2017,52
2017-12-31,Z31122017,Albisrieden,R00091,22113.0,Definitiv,Kreis 9 (ab 1934),R01400,2017-12-31,2017-12-31,2017,91
2017-12-31,Z31122017,Mühlebach,R00082,6164.0,Definitiv,Kreis 8 (ab 1915),R01100,2017-12-31,2017-12-31,2017,82
2017-12-31,Z31122017,Seefeld,R00081,5129.0,Definitiv,Kreis 8 (ab 1915),R01100,2017-12-31,2017-12-31,2017,81
2017-12-31,Z31122017,Enge,R00024,9489.0,Definitiv,Kreis 2 (ab 1893),R00200,2017-12-31,2017-12-31,2017,24
2017-12-31,Z31122017,Lindenhof,R00013,955.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2017-12-31,2017-12-31,2017,13
2017-12-31,Z31122017,Seebach,R00119,25817.0,Definitiv,Kreis 11 (ab 1970),R01800,2017-12-31,2017-12-31,2017,119
2017-12-31,Z31122017,Witikon,R00074,10600.0,Definitiv,Kreis 7 (ab 1934),R01300,2017-12-31,2017-12-31,2017,74
2017-12-31,Z31122017,Friesenberg,R00033,10860.0,Definitiv,Kreis 3 (ab 1915),R00600,2017-12-31,2017-12-31,2017,33
2017-12-31,Z31122017,Hirslanden,R00073,7465.0,Definitiv,Kreis 7 (ab 1934),R01300,2017-12-31,2017-12-31,2017,73
2017-12-31,Z31122017,Höngg,R00101,23797.0,Definitiv,Kreis 10 (ab 1934),R01500,2017-12-31,2017-12-31,2017,101
2017-12-31,Z31122017,Schwamendingen-Mitte,R00122,11012.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2017-12-31,2017-12-31,2017,122
